NLC,Origin TLC,Station Name,Location for map,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Total usage,Percentage change,Interchanges
3246,PSN,Parson Street,BS3 5PU,South West,Bristol City Of,Bristol City Of,UKK1,Gloucestershire Wiltshire and North Somerset,First Great Western,77722,13,0
3213,PWY,Patchway,BS34 6LP,South West,South Gloucestershire,South Gloucestershire,UKK1,Gloucestershire Wiltshire and North Somerset,First Great Western,67418,13,0
2916,PAT,Patricroft,M30 0GX,North West,Greater Manchester,Salford,UKD3,Greater Manchester,Northern Rail,44684,14,0
9775,PTT,Patterton,G77 6NR,Scotland,East Renfrewshire,East Renfrewshire,UKM3,South Western Scotland,First ScotRail,402148,11,0
2403,PEM,Pemberton,WN5 9HX,North West,Greater Manchester,Wigan,UKD3,Greater Manchester,Northern Rail,58846,13,0
4140,PBY,Pembrey & Burry Port,SA16 0LW,Wales - Cymru,Carmarthenshire - Sir Gaerfyrddin,Carmarthenshire - Sir Gaerfyrddin,UKL1,West Wales and the Valleys,Arriva Trains Wales,132152,10,0
5378,PNW,Penge West,SE20 8NU,London,Greater London,Bromley,UKI2,Outer London,Southern,462018,28,0
3499,PNM,Penmere,TR11 2QZ,South West,Cornwall And Isles Of Scilly,Carrick,UKK3,Cornwall and Isles of Scilly,First Great Western,171604,13,0
3992,PER,Penrhiwceiber,CF45 3ST,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,55386,-14,0
3525,PYN,Penryn,TR10 8HF,South West,Cornwall And Isles Of Scilly,Carrick,UKK3,Cornwall and Isles of Scilly,First Great Western,211220,17,0
3944,PTB,Pentre-Bach,CF48 4BD,Wales - Cymru,Merthyr Tydfil - Merthyr Tudful,Merthyr Tydfil - Merthyr Tudful,UKL2,East Wales,Arriva Trains Wales,19752,22,0
3528,PRW,Perranwell,TR3 7JY,South West,Cornwall And Isles Of Scilly,Carrick,UKK3,Cornwall and Isles of Scilly,First Great Western,27030,26,0
1128,PRY,Perry Barr,B20 3JE,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,645442,60,0
5757,PIN,Pinhoe,EX1 3SE,South West,Devon,Exeter,UKK4,Devon,South West Trains,47344,14,0
8670,PLK,Plockton,IV52 8TX,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,13040,17,0
9804,PWW,Pollokshaws West,G43 1NE,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,119456,11,0
9623,PLW,Pollokshields West,G41 5HT,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,176292,13,0
3422,POL,Polsloe Bridge,EX4 8AB,South West,Devon,Exeter,UKK4,Devon,First Great Western,99282,18,0
6819,PON,Ponders End,EN3 4QB,London,Greater London,Enfield,UKI2,Outer London,National Express East Anglia,305896,18,0
4023,PLT,Pontlottyn,CF81 9QX,Wales - Cymru,Caerphilly - Caerffili,Caerphilly - Caerffili,UKL1,West Wales and the Valleys,Arriva Trains Wales,18430,13,0
3744,PPL,Pontypool and New Inn,NP4 0QX,Wales - Cymru,Torfaen - Tor-Faen,Torfaen - Tor-Faen,UKL2,East Wales,Arriva Trains Wales,49176,21,0
3904,PPD,Pontypridd,CF37 1DT,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,873660,-16,97143
9958,PPK,Possilpark & Parkhouse,G22 6LN,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,112036,24,0
5285,PRP,Preston Park,BN1 6SG,South East,Brighton And Hove,Brighton And Hove,UKJ2,Surrey East & West Sussex,Southern,373964,12,0
9544,PRA,Prestwick Internat'nl Airport,KA9 2RZ,Scotland,South Ayrshire,South Ayrshire,UKM3,South Western Scotland,Glasgow Prestwick Airport,336982,-22,0
9808,PTL,Priesthill & Darnley,G53 7US,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,115920,10,0
7419,PRL,Prittlewell,SS2 5BT,East,Southend-On-Sea,Southend-On-Sea,UKH3,Essex,National Express East Anglia,125048,13,0
4185,PYL,Pyle,CF33 6AR,Wales - Cymru,Bridgend - Pen-Y-Bont Ar Ogwr,Bridgend - Pen-Y-Bont Ar Ogwr,UKL1,West Wales and the Valleys,Arriva Trains Wales,87650,14,0
9822,QPK,Queen's Park (Glasgow),G42 8PQ,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,545834,13,0
1419,QPW,Queen's Park (Gt London),NW6 6NL,London,Greater London,Brent,UKI2,Outer London,London Underground,4057234,13,0
5424,QRP,Queen's Road Peckham,SE15 2JR,London,Greater London,Southwark,UKI1,Inner London,Southern,1024608,14,0
3118,RAD,Radley,OX14 3AB,South East,Oxfordshire,Vale Of White Horse,UKJ1,Berkshire Buckinghamshire and Oxfordshire,First Great Western,98856,17,0
2734,RGW,Ramsgreave & Wilpshire,BB1 9BP,North West,Lancashire,Ribble Valley,UKD4,Lancashire,Northern Rail,108316,22,0
3160,RDW,Reading West,RG1 7PY,South East,Reading,Reading,UKJ1,Berkshire Buckinghamshire and Oxfordshire,First Great Western,556976,25,7476
6967,REC,Rectory Road,N16 7SJ,London,Greater London,Hackney,UKI1,Inner London,National Express East Anglia,702652,15,0
5912,RDB,Redbridge,SO15 0NB,South East,Southampton,Southampton,UKJ3,Hampshire and Isle of Wight,South West Trains,30456,19,344
3876,RIA,Rhoose (Cardiff Int Airpt),CF62 3HB,Wales - Cymru,The Vale Of Glamorgan - Bro Morgannwg,The Vale Of Glamorgan - Bro Morgannwg,UKL2,East Wales,Arriva Trains Wales,179572,16,0
2131,RIL,Rice Lane,L9 3BY,North West,Merseyside,Liverpool,UKD5,Merseyside,Merseyrail,289784,-10,0
5570,RMD,Richmond,TW9 2NA,London,Greater London,Richmond Upon Thames,UKI2,Outer London,South West Trains,8402376,10,1388212
687,RIC,Rickmansworth,WD3 1QY,East,Hertfordshire,Three Rivers,UKH2,Bedfordshire and Hertforshire,London Underground,735116,11,0
7510,RDM,Riding Mill,NE44 6EP,North East,Northumberland,Tynedale,UKC2,Northumberland and Tyne and Wear,Northern Rail,29322,-11,0
2580,RIS,Rishton,BB1 4EY,North West,Lancashire,Hyndburn,UKD4,Lancashire,Northern Rail,65718,13,0
2722,RSG,Rose Grove,BB12 6EH,North West,Lancashire,Burnley,UKD4,Lancashire,Northern Rail,40142,23,1
1039,ROE,Rotherhithe,SE16 4LF ,London,Greater London,Southwark,UKI1,Inner London,London Overground,979092,42,0
1087,RUG,Rugby,CV21 3LA,West Midlands,Warwickshire,Rugby,UKG1,Herefordshire Worcestershire and Warwickshire,Virgin Trains (West Coast),1750748,12,169587
1135,RGT,Rugeley Town,WS15 2HQ,West Midlands,Staffordshire,Cannock Chase,UKG2,Shropshire and Staffordshire,London Midland Trains,151106,29,-
1084,RGL,Rugeley Trent Valley,WS15 3HA,West Midlands,Staffordshire,Lichfield,UKG2,Shropshire and Staffordshire,London Midland Trains,113816,48,30170
6327,RKT,Ruskington,NG34 9ED,East Midlands,Lincolnshire,North Kesteven,UKF3,Lincolnshire,East Midlands Trains,91832,12,0
9787,RUT,Rutherglen,G73 1DB,Scotland,South Lanarkshire,South Lanarkshire,UKM3,South Western Scotland,First ScotRail,894434,12,0
2977,RRB,Ryder Brow,SK6 1AA,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,28464,10,0
2798,SFD,Salford,M3 5ET,North West,Greater Manchester,Salford,UKD3,Greater Manchester,Northern Rail,265004,11,0
2794,SLD,Salford Crescent,M5 4BR,North West,Greater Manchester,Salford,UKD3,Greater Manchester,Northern Rail,1332060,11,216163
5380,SAF,Salfords,RH1 5DE,South East,Surrey,Reigate And Banstead,UKJ2,Surrey East & West Sussex,Southern,128728,12,0
3587,STS,Saltash,PL12 5LU,South West,Cornwall And Isles Of Scilly,Caradon,UKK3,Cornwall and Isles of Scilly,First Great Western,76000,28,0
5646,SND,Sandhurst,GU47 4QO,South East,Bracknell Forest,Bracknell Forest,UKJ1,Berkshire Buckinghamshire and Oxfordshire,First Great Western,142278,11,0
1149,SAD,Sandwell & Dudley,B70 7JD,West Midlands,West Midlands,Sandwell,UKG3,West Midlands,London Midland Trains,700090,17,0
5026,SDW,Sandwich,CT13 9JR,South East,Kent,Dover,UKJ4,Kent,Southeastern,358302,22,0
2388,SNK,Sankey For Penketh,WA5 1RQ,North West,Warrington,Warrington,UKD2,Cheshire,Northern Rail,119756,20,0
9549,SQH,Sanquhar,DG4 6DQ,Scotland,Dumfries And Galloway,Dumfries And Galloway,UKM3,South Western Scotland,First ScotRail,28434,13,0
4270,SRR,Sarn,CF32 9RL,Wales - Cymru,Bridgend - Pen-Y-Bont Ar Ogwr,Bridgend - Pen-Y-Bont Ar Ogwr,UKL1,West Wales and the Valleys,Arriva Trains Wales,45532,10,0
2003,SSC,Seascale,CA20 1QL,North West,Cumbria,Copeland,UKD1,Cumbria,Northern Rail,37438,-14,0
8007,SEC,Seaton Carew,TS25 1DW,North East,Hartlepool,Hartlepool,UKC1,Tees Valley and Durham,Northern Rail,44668,12,0
1105,SLY,Selly Oak,B29 6DW,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,2269532,45,0
6893,SVK,Seven Kings,IG3 8RE,London,Greater London,Redbridge,UKI2,Outer London,National Express East Anglia,1879664,10,0
6931,SVS,Seven Sisters,N15 5LA,London,Greater London,Haringey,UKI1,Inner London,National Express East Anglia,3049236,16,8082
3205,SVB,Severn Beach,BS35 4PQ,South West,South Gloucestershire,South Gloucestershire,UKK1,Gloucestershire Wiltshire and North Somerset,First Great Western,141714,25,0
1082,SDE,Shadwell,E1 2QF,London,Greater London,Tower Hamlets,UKI1,Inner London,London Overground,1658564,68,0
5929,SHW,Shawford,SO21 2AA,South East,Hampshire,Winchester,UKJ3,Hampshire and Isle of Wight,South West Trains,149382,14,0
1178,SEN,Shenstone,WS14 0NW,West Midlands,Staffordshire,Lichfield,UKG2,Shropshire and Staffordshire,London Midland Trains,160312,-15,0
9587,SPB,Shepherds Bush,W12 8LB,London,Greater London,Kensington And Chelsea,UKI1,Inner London,London Overground,3148594,41,0
8257,SIE,Sherburn-In-Elmet,LS25 6DY,Yorkshire And The Humber,North Yorkshire,Selby,UKE2,North Yorkshire,Northern Rail,31920,46,0
9903,SLS,Shettleston,G32 0PF,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,682706,11,0
4619,SFN,Shifnal,TF11 9QB,West Midlands,Shropshire,Bridgnorth,UKG2,Shropshire and Staffordshire,London Midland Trains,121998,17,0
7893,SHD,Shildon,DL4 1LX,North East,Durham,Sedgefield,UKC1,Tees Valley and Durham,Northern Rail,58478,21,0
4526,SRL,Shirley,B90 2NE,West Midlands,West Midlands,Solihull,UKG3,West Midlands,London Midland Trains,313430,-14,0
1024,SDC,Shoreditch High Street,E1 6GJ ,London,Greater London,Hackney,UKI1,Inner London,London Overground,2617616,-15,46345
2546,SHT,Shotton,CH5 1BX,Wales - Cymru,Flintshire - Sir Y Fflint,Flintshire - Sir Y Fflint,UKL2,East Wales,Arriva Trains Wales,246266,13,18354
9739,SHS,Shotts,ML7 5DX,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,196600,11,0
6972,SLV,Silver Street,N18 2UE,London,Greater London,Enfield,UKI2,Outer London,National Express East Anglia,669550,14,0
9236,SLA,Slateford,EH14 1BX,Scotland,Edinburgh City Of,Edinburgh City Of,UKM2,Eastern Scotland,First ScotRail,24518,14,0
4530,SMA,Small Heath,B10 0DP,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,100126,16,0
1114,SGB,Smethwick Galton Bridge,B66 1HU,West Midlands,West Midlands,Sandwell,UKG3,West Midlands,London Midland Trains,494730,44,357845
1150,SMR,Smethwick Rolfe Street,B68 2AF,West Midlands,West Midlands,Sandwell,UKG3,West Midlands,London Midland Trains,369170,99,59
2660,SMB,Smithy Bridge,OL15 0DZ,North West,Greater Manchester,Rochdale,UKD3,Greater Manchester,Northern Rail,163018,16,0
1452,SAT,South Acton,W3 8TG,London,Greater London,Ealing,UKI2,Outer London,London Overground,523706,36,0
1451,SOH,South Hampstead,NW8 0DJ,London,Greater London,Camden,UKI1,Inner London,London Overground,582326,18,0
5292,SMO,South Merton,SW20 9JT,London,Greater London,Merton,UKI2,Outer London,First Capital Connect,157004,14,0
7404,STO,South Tottenham,N15 6UJ,London,Greater London,Haringey,UKI1,Inner London,London Overground,657598,49,0
3187,STL,Southall,UB2 4AA,London,Greater London,Ealing,UKI2,Outer London,First Great Western,2121978,12,0
6947,SBU,Southbury,EN3 4HW,London,Greater London,Enfield,UKI2,Outer London,National Express East Anglia,383544,13,0
5339,SEE,Southease,BN8 6JS,South East,East Sussex,Lewes,UKJ2,Surrey East & West Sussex,Southern,13816,13,0
7456,SOC,Southend Central,SS1 1AB,East,Southend-On-Sea,Southend-On-Sea,UKH3,Essex,c2c,2084794,15,43076
1699,SPO,Spondon,DE21 7RX,East Midlands,Derby,Derby,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,19826,21,0
3537,SER,St.Erth,TR27 6JW,South West,Cornwall And Isles Of Scilly,Penwith,UKK3,Cornwall and Isles of Scilly,First Great Western,202362,68,179632
3586,SGM,St.Germans,PL12 5LS,South West,Cornwall And Isles Of Scilly,Caradon,UKK3,Cornwall and Isles of Scilly,First Great Western,51030,14,0
5290,SIH,St.Helier,SM4 5NR,London,Greater London,Merton,UKI2,Outer London,First Capital Connect,178222,18,0
3538,SIV,St.Ives,TR26 2BP,South West,Cornwall And Isles Of Scilly,Penwith,UKK3,Cornwall and Isles of Scilly,First Great Western,578214,124,0
6973,SJS,St.James' Street,E17 7PJ,London,Greater London,Waltham Forest,UKI2,Outer London,National Express East Anglia,747530,12,0
6821,SMT,St.Margaret's (Hertfordshire),SG12 8DS,East,Hertfordshire,East Hertfordshire,UKH2,Bedfordshire and Hertforshire,National Express East Anglia,324960,13,0
6287,SLL,Stallingborough,DN41 8AS,Yorkshire And The Humber,North East Lincolnshire,North East Lincolnshire,UKE1,East Riding and North Linconshire,Northern Rail,11104,13,0
6968,SMH,Stamford Hill,N16 5AG,London,Greater London,Haringey,UKI1,Inner London,National Express East Anglia,373482,12,0
6833,SST,Stansted Mountfitchet,CM24 8BE,East,Essex,Uttlesford,UKH3,Essex,National Express East Anglia,458130,16,6026
3413,SCS,Starcross,EX6 8PA,South West,Devon,Teignbridge,UKK4,Devon,First Great Western,101048,11,0
1043,SCF,Stechford,B33 8AJ,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,360802,73,0
9554,STT,Stewarton,KA3 5BD,Scotland,East Ayrshire,East Ayrshire,UKM3,South Western Scotland,First ScotRail,322178,14,0
6934,SKW,Stoke Newington,N16 6YA,London,Greater London,Hackney,UKI1,Inner London,National Express East Anglia,821876,20,0
1316,SNE,Stone,ST15 8ER ,West Midlands,Staffordshire,Stafford,UKG2,Shropshire and Staffordshire,London Midland Trains,85074,11,0
5248,SCG,Stone Crossing,DA9 9AR,South East,Kent,Dartford,UKJ4,Kent,Southeastern,171782,24,0
1454,SBP,Stonebridge Park,NW10 0RL,London,Greater London,Brent,UKI2,Outer London,London Underground,900572,23,0
4643,SBT,Stourbridge Town,DY8 1EX,West Midlands,West Midlands,Dudley,UKG3,West Midlands,London Midland Trains,471220,-21,0
9555,STR,Stranraer,DG9 8EJ,Scotland,Dumfries And Galloway,Dumfries And Galloway,UKM3,South Western Scotland,First ScotRail,45388,-21,0
6969,SRA,Stratford,E15 1AZ,London,Greater London,Newham,UKI1,Inner London,National Express East Anglia,21797396,25,2064190
4558,SAV,Stratford-Upon-Avon,CV37 6PL,West Midlands,Warwickshire,Stratford-On-Avon,UKG1,Herefordshire Worcestershire and Warwickshire,London Midland Trains,855818,36,849
8673,STC,Strathcarron,IV54 8YR,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,11010,36,0
5435,SRH,Streatham Hill,SW2 4PA,London,Greater London,Lambeth,UKI1,Inner London,Southern,2684526,16,0
2834,SRN,Strines,SK22 3AY,North West,Greater Manchester,Stockport,UKD3,Greater Manchester,Northern Rail,11694,10,0
9959,SUM,Summerston,G23 5AT,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,140546,21,0
5675,SNY,Sunnymeads,SL3 9PX,South East,Windsor And Maidenhead,Windsor And Maidenhead,UKJ1,Berkshire Buckinghamshire and Oxfordshire,South West Trains,36528,16,0
1083,SQE,Surrey Quays,SE16 2UE ,London,Greater London,Southwark,UKI1,Inner London,London Overground,1801232,57,1087933
1044,SUT,Sutton Coldfield,B73 6AY,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,1377074,16,0
5436,SUC,Sutton Common,SM1 3HY,London,Greater London,Sutton,UKI2,Outer London,First Capital Connect,303538,11,0
5933,SWG,Swaythling,SO18 2LB,South East,Southampton,Southampton,UKJ3,Hampshire and Isle of Wight,South West Trains,103766,16,0
6355,SWD,Swinderby,LN6 9HY,East Midlands,Lincolnshire,North Kesteven,UKF3,Lincolnshire,East Midlands Trains,16814,46,0
2800,SNN,Swinton (Greater Manchester),M27 6BT,North West,Greater Manchester,Salford,UKD3,Greater Manchester,Northern Rail,153452,26,0
5437,SYD,Sydenham,SE26 5EU,London,Greater London,Lewisham,UKI1,Inner London,Southern,2932598,14,0
5609,SYL,Syon Lane,TW8 8JG,London,Greater London,Hounslow,UKI2,Outer London,South West Trains,905236,11,0
3195,TAC,Tackley,OX5 3AT,South East,Oxfordshire,West Oxfordshire,UKJ1,Berkshire Buckinghamshire and Oxfordshire,First Great Western,34372,64,0
8676,TAI,Tain,IV19 1JA,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,33638,25,0
4479,TAL,Talsarnau,LL47 6UA,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,12064,24,0
1010,TAB,Tame Bridge Parkway,WS10 0LD,West Midlands,West Midlands,Sandwell,UKG3,West Midlands,London Midland Trains,490874,28,0
5387,TAT,Tattenham Corner,KT18 5PR,South East,Surrey,Reigate And Banstead,UKJ2,Surrey East & West Sussex,Southern,278686,14,0
3430,TGM,Teignmouth,TQ14 8PG,South West,Devon,Teignbridge,UKK4,Devon,First Great Western,566528,12,0
4523,THW,The Hawthorns,B66 2HB,West Midlands,West Midlands,Sandwell,UKG3,West Midlands,London Midland Trains,387072,18,0
9812,THB,Thornliebank,G46 7DA,Scotland,East Renfrewshire,East Renfrewshire,UKM3,South Western Scotland,First ScotRail,206762,12,0
1035,THL,Tile Hill,CV4 8AS,West Midlands,West Midlands,Coventry,UKG3,West Midlands,London Midland Trains,436390,29,0
1159,TIP,Tipton,DY4 8ET,West Midlands,West Midlands,Sandwell,UKG3,West Midlands,London Midland Trains,253116,20,0
5758,TOP,Topsham,EX3 0DS,South West,Devon,Exeter,UKK4,Devon,First Great Western,221238,11,0
3432,TRR,Torre,TQ2 5DD,South West,Torbay,Torbay,UKK4,Devon,First Great Western,224072,25,0
2283,TWN,Town Green,L39 6RG,North West,Lancashire,West Lancashire,UKD4,Lancashire,Merseyrail,149306,-23,0
3887,TRF,Trefforest,CF37 1SL,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,911800,18,0
3886,TRE,Trefforest Estate,CF38 1SG,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,104444,-10,0
3540,TRU,Truro,TR1 3HH,South West,Cornwall And Isles Of Scilly,Carrick,UKK3,Cornwall and Isles of Scilly,First Great Western,1278354,10,193125
3817,TGS,Ty Glas,CF14 5DL,Wales - Cymru,Cardiff - Caerdydd,Cardiff - Caerdydd,UKL2,East Wales,Arriva Trains Wales,110222,21,0
5334,UCK,Uckfield,TN22 1HS,South East,East Sussex,Wealden,UKJ2,Surrey East & West Sussex,Southern,445146,10,8728
5826,UMB,Umberleigh,EX37 9AB,South West,Devon,North Devon,UKK4,Devon,First Great Western,23786,20,0
4504,UNI,University,B15 2FB,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,2594728,20,0
9373,UHA,Uphall,EH54 5QG,Scotland,West Lothian,West Lothian,UKM2,Eastern Scotland,First ScotRail,325148,45,0
2364,UPL,Upholland,WN8 9QD,North West,Lancashire,West Lancashire,UKD4,Lancashire,Northern Rail,25400,23,0
1524,UHL,Upper Holloway,N19 4DJ,London,Greater London,Islington,UKI1,Inner London,London Overground,736306,46,0
5392,WDO,Waddon,CR0 4NA,London,Greater London,Croydon,UKI2,Outer London,Southern,627586,12,0
6268,WFL,Wainfleet,PE24 2DR,East Midlands,Lincolnshire,East Lindsey,UKF3,Lincolnshire,East Midlands Trains,41578,-36,0
2612,WKD,Walkden,M28 3DY,North West,Greater Manchester,Salford,UKD3,Greater Manchester,Northern Rail,305088,15,0
1216,WSL,Walsall,WS2 9JS,West Midlands,West Midlands,Walsall,UKG3,West Midlands,London Midland Trains,1216380,23,11184
7407,WMW,Walthamstow Queens Road,E17 7QJ,London,Greater London,Waltham Forest,UKI2,Outer London,London Overground,334630,55,0
5639,WAN,Wanborough,GU3 2ED,South East,Surrey,Guildford,UKJ2,Surrey East & West Sussex,South West Trains,102510,11,0
5372,WWR,Wandsworth Road,SW4 6AD,London,Greater London,Lambeth,UKI1,Inner London,Southern,279248,17,0
7408,WNP,Wanstead Park,E7 0HX,London,Greater London,Newham,UKI1,Inner London,London Overground,505344,44,1911
1085,WPE,Wapping,E1W 3PA ,London,Greater London,Tower Hamlets,UKI1,Inner London,London Overground,1081332,50,0
5264,WBL,Warblington,PO9 2QD,South East,Hampshire,Havant,UKJ3,Hampshire and Isle of Wight,Southern,31212,15,0
5316,WNH,Warnham,RH12 3SR,South East,West Sussex,Horsham,UKJ2,Surrey East & West Sussex,Southern,14896,33,0
1455,WFH,Watford High Street,WD17 2NW,East,Hertfordshire,Watford,UKH2,Bedfordshire and Hertforshire,London Overground,922436,10,0
1403,WFN,Watford North,WD2 4QN,East,Hertfordshire,Watford,UKH2,Bedfordshire and Hertforshire,London Midland Trains,103326,10,0
7057,WTG,Watlington,PE33 0JF,East,Norfolk,Kings Lynn And West Norfolk,UKH1,East Anglia,First Capital Connect,129014,13,0
3796,WNG,Waun-gron Park,CF5 2BN,Wales - Cymru,Cardiff - Caerdydd,Cardiff - Caerdydd,UKL2,East Wales,Arriva Trains Wales,47490,11,0
1423,WMB,Wembley Central,HA9 7AJ,London,Greater London,Brent,UKI2,Outer London,London Underground,2654924,20,6840
1509,WCX,Wembley Stadium,HA9 8BQ,London,Greater London,Brent,UKI2,Outer London,Chiltern Railways,542600,13,0
8875,WBP,West Brompton,SW5 9JX,London,Greater London,Kensington And Chelsea,UKI1,Inner London,London Underground,2103946,40,0
5411,WCY,West Croydon,CR0 2TA,London,Greater London,Croydon,UKI2,Outer London,Southern,3870408,16,431230
7474,WEH,West Ham,E15 3BN,London,Greater London,Newham,UKI1,Inner London,c2c,3514268,18,18644
1421,WHD,West Hampstead,NW6 2LJ,London,Greater London,Camden,UKI1,Inner London,London Overground,2880920,52,259276
5293,WSU,West Sutton,SM1 2EY,London,Greater London,Sutton,UKI2,Outer London,First Capital Connect,301058,11,0
9231,WTA,Wester Hailes,EH14 3AQ,Scotland,Edinburgh City Of,Edinburgh City Of,UKM2,Eastern Scotland,First ScotRail,29820,28,0
7226,WFI,Westerfield,IP6 9AE,East,Suffolk,Suffolk Coastal,UKH1,East Anglia,National Express East Anglia,14792,11,5111
3388,WNM,Weston Milton,BS22 8PF,South West,North Somerset,North Somerset,UKK1,Gloucestershire Wiltshire and North Somerset,First Great Western,46718,15,0
7572,WRL,Wetheral,CA4 8JP,North West,Cumbria,Carlisle,UKD1,Cumbria,Northern Rail,17430,24,0
2736,WHE,Whalley,BB7 9SE,North West,Lancashire,Ribble Valley,UKD4,Lancashire,Northern Rail,86672,11,0
5759,WHM,Whimple,EX5 2QW,South West,Devon,East Devon,UKK4,Devon,South West Trains,68434,13,0
6956,WHL,White Hart Lane,N17 8HH,London,Greater London,Haringey,UKI1,Inner London,National Express East Anglia,787692,16,0
4935,WCA,Whitechapel,E1 1BY,London,Greater London,Tower Hamlets,UKI1,Inner London,London Overground,3643542,76,0
6551,WWL,Whitwell (Derbys),S80 4NY,East Midlands,Derbyshire,Bolsover,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,24436,18,0
7227,WCM,Wickham Market,IP13 0PT,East,Suffolk,Suffolk Coastal,UKH1,East Anglia,National Express East Anglia,32856,11,0
4528,WMR,Widney Manor,B91 3LB,West Midlands,West Midlands,Solihull,UKG3,West Midlands,London Midland Trains,311952,14,0
1457,WIJ,Willesden Junction,NW10 4UY,London,Greater London,Hammersmith And Fulham,UKI1,Inner London,London Overground,3504304,47,2022895
1905,WIL,Willington,DE65 6BN,East Midlands,Derbyshire,South Derbyshire,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,15892,16,0
4568,WMC,Wilmcote,CV37 9UP,West Midlands,Warwickshire,Stratford-On-Avon,UKG1,Herefordshire Worcestershire and Warwickshire,London Midland Trains,20984,24,0
5578,WIM,Wimbledon,SW19 7NL,London,Greater London,Merton,UKI2,Outer London,South West Trains,18245850,13,1590568
5612,WBO,Wimbledon Chase,SW20 8JT,London,Greater London,Merton,UKI2,Outer London,First Capital Connect,379482,18,0
1011,WTT,Witton,B6 7BA,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,265418,56,0
1364,WOL,Wolverton,MK12 5LQ,South East,Milton Keynes,Milton Keynes,UKJ1,Berkshire Buckinghamshire and Oxfordshire,London Midland Trains,361302,13,0
4536,WDE,Wood End,B94 5DS,West Midlands,Warwickshire,Stratford-On-Avon,UKG1,Herefordshire Worcestershire and Warwickshire,London Midland Trains,12696,11,0
6954,WST,Wood Street,E17 3LX,London,Greater London,Waltham Forest,UKI2,Outer London,National Express East Anglia,750460,11,0
7228,WDB,Woodbridge,IP12 4AU,East,Suffolk,Suffolk Coastal,UKH1,East Anglia,National Express East Anglia,169390,27,0
7467,WGR,Woodgrange Park,E7 8AF,London,Greater London,Newham,UKI1,Inner London,London Overground,484632,56,0
4893,WOF,Worcester Foregate Street,WR1 1DB,West Midlands,Worcestershire,Worcester,UKG1,Herefordshire Worcestershire and Warwickshire,London Midland Trains,1791728,10,154974
3390,WOR,Worle,BS22 6WA,South West,North Somerset,North Somerset,UKK1,Gloucestershire Wiltshire and North Somerset,First Great Western,241478,12,0
7326,WRT,Worstead,NR28 9RX,East,Norfolk,North Norfolk,UKH1,East Anglia,National Express East Anglia,21908,16,0
1138,WYL,Wylde Green,B73 5LA,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,488020,11,0
7383,WMD,Wymondham,NR18 0JZ,East,Norfolk,South Norfolk,UKH1,East Anglia,National Express East Anglia,156624,13,0
4532,WYT,Wythall,B47 6BY,West Midlands,Worcestershire,Bromsgrove,UKG1,Herefordshire Worcestershire and Warwickshire,London Midland Trains,53468,11,0
