NLC,Origin TLC,Station Name,Location for map,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Total usage,Percentage change,Interchanges
4515,BMO,Birmingham Moor Street,B4 7UL,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,Chiltern Railways,6385572,34,632720
1127,BHM,Birmingham New Street,B2 4ND,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,Network Rail,31213842,26,5117520
1006,BSW,Birmingham Snow Hill,B3 2BJ,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,4997360,12,182369
5402,BIP,Bishopstone,BN25 2RB,South East,East Sussex,Lewes,UKJ2,Surrey East & West Sussex,Southern,34556,14,0
7400,BHO,Blackhorse Road,E17 6NH,London,Greater London,Waltham Forest,UKI2,Outer London,London Underground,669050,50,0
2738,BPB,Blackpool Pleasure Beach,FY4 1NY,North West,Blackpool,Blackpool,UKD4,Lancashire,Northern Rail,94960,16,0
2740,BPS,Blackpool South,FY4 2FA,North West,Blackpool,Blackpool,UKD4,Lancashire,Northern Rail,144364,10,0
991,BKR,Blackridge,EH48 3BW ,Scotland,West Lothian,West Lothian,UKM2,Eastern Scotland,First ScotRail,43258,249,0
2450,BFF,Blaenau Ffestiniog,LL41 3HE,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,47802,12,0
9668,BGS,Bogston,PA15 2TF,Scotland,Inverclyde,Inverclyde,UKM3,South Western Scotland,First ScotRail,62992,145,0
1993,BOC,Bootle (Cumbria),LA19 5TA,North West,Cumbria,Copeland,UKD1,Cumbria,Northern Rail,12792,-14,0
1112,BRV,Bournville,B30 1LG,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,982736,25,0
6027,BOP,Bowes Park,N22 4NT,London,Greater London,Haringey,UKI1,Inner London,First Capital Connect,814562,12,0
5403,BXW,Boxhill & Westhumble,RH5 6BT,South East,Surrey,Mole Valley,UKJ2,Surrey East & West Sussex,Southern,81122,29,0
2053,BTP,Braintree Freeport,CM77 8YH,East,Essex,Braintree,UKH3,Essex,National Express East Anglia,55772,-14,0
7565,BMP,Brampton (Cumbria),CA8 1HW,North West,Cumbria,Carlisle,UKD1,Cumbria,Northern Rail,11896,24,0
9789,BDG,Bridgeton,G40 1BN,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,489332,20,0
2554,BRF,Brierfield,BB9 5PU,North West,Lancashire,Pendle,UKD4,Lancashire,Northern Rail,28386,13,0
8514,BGH,Brighouse,HD6 1LE,Yorkshire And The Humber,West Yorkshire,Calderdale,UKE4,West Yorkshire,Northern Rail,267010,20,0
5268,BTN,Brighton,BN1 3XP,South East,Brighton And Hove,Brighton And Hove,UKJ2,Surrey East & West Sussex,Southern,16051198,11,1858787
